STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,WDF5,WSF5
USW00012816,1/5/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,156,-22,,,,
USW00012816,1/6/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,172,22,,,,
USW00012816,1/7/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,228,56,,,,
USW00012816,1/8/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",58,0,122,100,,,,
USW00012816,1/9/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,139,39,,,,
USW00012816,1/10/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,172,28,,,,
USW00012816,1/11/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,206,72,,,,
USW00012816,1/12/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,211,94,,,,
USW00012816,1/13/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",41,0,200,139,,,,
USW00012816,1/14/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",46,0,200,128,,,,
USW00012816,1/15/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,206,94,,,,
USW00012816,1/16/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,178,67,,,,
USW00012816,1/17/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,172,22,,,,
USW00012816,1/18/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,211,11,,,,
USW00012816,1/19/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",51,0,200,33,,,,
USW00012816,1/20/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,100,-22,,,,
USW00012816,1/21/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,111,-33,,,,
USW00012816,1/22/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,94,-61,,,,
USW00012816,1/23/1961,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,194,-22,,,,
